month,avg_hash_rate_eh_s,bitcoins_created,th_s_per_bitcoin,max_price_usd
2009-01,0.00,121050.00,0.00,0.00
2009-02,0.00,121050.00,0.00,0.00
2009-03,0.00,152700.00,0.00,0.00
2009-04,0.00,121929.17,0.00,0.00
2009-05,0.00,156475.00,0.00,0.00
2009-06,0.00,61793.75,0.00,0.00
2009-07,0.00,93700.00,0.00,0.00
2009-08,0.00,31054.17,0.00,0.00
2009-09,0.00,62529.17,0.00,0.00
2009-10,0.00,94370.83,0.00,0.00
2009-11,0.00,90900.00,0.00,0.00
2009-12,0.00,152350.00,0.00,0.00
2010-01,0.00,212800.00,0.00,0.00
2010-02,0.00,244875.00,0.00,0.00
2010-03,0.00,245618.75,0.00,0.00
2010-04,0.00,246000.00,0.00,0.00
2010-05,0.00,217304.17,0.00,0.00
2010-06,0.00,218014.58,0.00,0.00
2010-07,0.00,351550.00,0.00,0.00
2010-08,0.00,274887.50,0.00,0.07
2010-09,0.00,244079.17,0.00,0.09
2010-10,0.00,245231.25,0.00,0.19
2010-11,0.00,275950.00,0.00,0.32
2010-12,0.00,246300.00,0.00,0.27
2011-01,0.00,244537.50,0.00,0.45
2011-02,0.00,243550.00,0.00,1.08
2011-03,0.00,213250.00,0.00,0.97
2011-04,0.00,213654.17,0.00,1.78
2011-05,0.00,303979.17,0.00,8.68
2011-06,0.00,303150.00,0.00,32.34
2011-07,0.00,212300.00,0.00,16.10
2011-08,0.00,185783.33,0.00,14.58
2011-09,0.00,155300.00,0.00,8.46
2011-10,0.00,154700.00,0.00,5.06
2011-11,0.00,187100.00,0.00,3.38
2011-12,0.00,192456.25,0.00,4.47
2012-01,0.00,226150.00,0.00,7.10
2012-02,0.00,188300.00,0.00,5.99
2012-03,0.00,194750.00,0.00,5.44
2012-04,0.00,161627.08,0.00,5.24
2012-05,0.00,189331.25,0.00,5.18
2012-06,0.00,193091.67,0.00,6.64
2012-07,0.00,228383.33,0.00,9.53
2012-08,0.00,195739.58,0.00,14.48
2012-09,0.00,201133.33,0.00,12.63
2012-10,0.00,202225.00,0.00,12.97
2012-11,0.00,167750.00,0.00,12.62
2012-12,0.00,97541.67,0.00,13.80
2013-01,0.00,94964.58,0.00,19.78
2013-02,0.00,94587.50,0.00,31.20
2013-03,0.00,124028.13,0.00,92.50
2013-04,0.00,107475.00,0.00,163.30
2013-05,0.00,107344.79,0.00,132.30
2013-06,0.00,122875.00,0.00,122.42
2013-07,0.00,107988.54,0.00,98.70
2013-08,0.00,139520.83,0.00,118.50
2013-09,0.00,124579.17,0.01,130.09
2013-10,0.00,142684.38,0.01,206.90
2013-11,0.00,111130.21,0.04,1133.95
2013-12,0.01,128582.29,0.06,1050.21
2014-01,0.01,113339.58,0.12,844.04
2014-02,0.02,99325.00,0.22,817.08
2014-03,0.03,116696.88,0.28,670.70
2014-04,0.05,101442.71,0.50,488.52
2014-05,0.07,116958.33,0.59,581.00
2014-06,0.10,115159.38,0.87,661.48
2014-07,0.13,98046.88,1.33,645.35
2014-08,0.16,115310.42,1.43,588.98
2014-09,0.23,98975.00,2.28,485.91
2014-10,0.26,97168.75,2.67,394.84
2014-11,0.29,96427.08,2.98,420.19
2014-12,0.29,97931.25,2.92,379.62
2015-01,0.31,98014.58,3.13,297.99
2015-02,0.33,80806.25,4.07,245.78
2015-03,0.34,96550.00,3.54,294.90
2015-04,0.34,96632.29,3.56,260.52
2015-05,0.34,96390.63,3.56,240.95
2015-06,0.36,96667.71,3.68,249.98
2015-07,0.37,96009.38,3.85,292.82
2015-08,0.39,95726.04,4.05,281.12
2015-09,0.42,96125.00,4.42,244.21
2015-10,0.44,96058.33,4.63,328.17
2015-11,0.50,111100.00,4.46,404.50
2015-12,0.65,110127.08,5.90,456.58
2016-01,0.84,108201.04,7.74,448.43
2016-02,1.12,92560.42,12.07,431.59
2016-03,1.18,91515.63,12.88,422.50
2016-04,1.28,107150.00,11.95,451.92
2016-05,1.39,91672.92,15.16,511.30
2016-06,1.47,106900.00,13.80,751.96
2016-07,1.50,54231.25,27.70,681.98
2016-08,1.56,45687.50,34.04,605.56
2016-09,1.70,53312.50,31.88,621.65
2016-10,1.82,45575.00,40.02,685.91
2016-11,1.98,53175.00,37.18,737.07
2016-12,2.21,45800.00,48.35,930.34
2017-01,2.67,53262.50,50.07,1109.16
2017-02,3.11,45750.00,68.00,1150.37
2017-03,3.48,53287.50,65.30,1271.04
2017-04,3.73,45937.50,81.25,1288.02
2017-05,4.21,53350.00,78.90,2421.49
