date,availability
2020/01/01,50.68766
2020/01/02,51.23886
2020/01/03,51.41635
2020/01/04,49.85654
2020/01/05,51.37439
2020/01/06,52.92502
2020/01/07,52.82825
2020/01/08,52.88973
2020/01/09,47.62747
2020/01/10,50.55459
2020/01/11,53.95225
2020/01/12,54.59648
2020/01/13,54.7387
2020/01/14,51.30789
2020/01/15,51.62199
2020/01/16,51.32516
2020/01/17,51.29815
2020/01/18,49.45593
2020/01/19,50.7375
2020/01/20,50.86898
2020/01/21,52.28528
2020/01/22,53.08659
2020/01/23,52.33882
2020/01/24,51.81601
2020/01/25,50.52506
2020/01/26,49.62914
2020/02/12,51.52866
2020/02/13,50.26212
2020/02/14,51.04021
2020/02/15,49.81473
2020/02/16,49.98356
2020/02/17,50.62762
2020/02/18,51.59265
2020/02/19,50.73952
2020/02/20,46.39023
2020/02/21,49.25332
2020/02/22,46.55718
2020/02/23,48.14564
2020/02/24,48.7575
2020/02/25,48.63274
2020/02/26,48.30153
2020/02/27,46.41312
2020/02/28,47.93791
2020/02/29,48.18875
2020/03/01,48.04436
2020/03/02,48.3608
2020/03/03,47.94647
2020/03/04,47.78102
2020/03/05,46.38333
2020/03/06,47.00601
2020/03/07,45.9411
2020/03/08,45.89631
2020/03/09,45.98858
2020/03/10,45.79945
2020/03/11,45.49363
2020/03/12,43.4237
2020/03/13,43.53645
2020/03/14,42.99983
2020/03/15,43.37006
2020/03/16,43.571
2020/03/17,43.54728
2020/03/18,42.63277
2020/03/19,42.231
2020/03/20,41.55671
2020/03/21,41.93378
2020/03/22,40.2602
2020/03/23,42.07106
2020/03/24,41.93125
2020/03/25,42.07919
2020/03/26,41.54619
2020/03/27,40.67535
2020/03/28,40.56812
2020/03/29,38.41554
2020/03/30,40.31907
2020/03/31,40.735
2020/04/01,42.79879
2020/04/02,44.38786
2020/04/03,42.95731
2020/04/04,42.85553
2020/04/05,39.45468
2020/04/06,42.25657
2020/04/07,45.13979
2020/04/08,44.63284
2020/04/09,42.44093
2020/04/10,42.0385
2020/04/11,40.23613
2020/04/12,39.0935
2020/04/13,35.83428
2020/04/14,40.38247
2020/04/15,42.59569
2020/04/16,42.13412
2020/04/17,41.91692
