month,optimal_production_twh,actual_production_twh,surplus_twh,surplus_pj,avg_availability_gw,days_in_month
2020-06,23.112,21.335,1.777,6.4,32.1,30
2020-07,24.003,22.498,1.504,5.42,32.26,31
2020-08,24.479,22.876,1.604,5.77,32.9,31
2020-09,23.084,21.74,1.345,4.84,32.06,30
2020-10,29.604,28.271,1.333,4.8,39.79,31
2020-11,32.624,31.565,1.059,3.81,45.31,30
2020-12,35.314,34.431,0.882,3.18,47.46,31
2021-01,37.871,37.174,0.696,2.51,50.9,31
2021-02,31.138,30.337,0.802,2.89,46.34,28
2021-03,32.719,31.695,1.024,3.69,43.98,31
2021-04,28.193,27.209,0.984,3.54,39.16,30
2021-05,29.265,27.574,1.691,6.09,39.33,31
2021-06,29.252,27.714,1.537,5.53,40.63,30
2021-07,30.291,28.449,1.842,6.63,40.71,31
2021-08,31,29.011,1.989,7.16,41.67,31
2021-09,30.375,29,1.374,4.95,42.19,30
2021-10,31.813,30.656,1.157,4.17,42.76,31
2021-11,30.875,30.369,0.506,1.82,42.88,30
2021-12,32.314,31.502,0.812,2.92,43.43,31
2022-01,35.853,35.22,0.634,2.28,48.19,31
2022-02,30.405,29.578,0.828,2.98,45.25,28
2022-03,27.662,26.852,0.81,2.92,37.18,31
2022-04,22.788,21.766,1.022,3.68,31.65,30
2022-05,21.621,20.529,1.092,3.93,29.06,31
2022-06,21.294,20.175,1.119,4.03,29.57,30
2022-07,20.087,18.781,1.307,4.7,27,31
2022-08,19.38,18.133,1.247,4.49,26.05,31
2022-09,19.377,18.19,1.186,4.27,26.91,30
2022-10,21.469,20.225,1.244,4.48,28.86,31
2022-11,22.707,21.597,1.11,4,31.54,30
2022-12,28.644,27.912,0.731,2.63,38.5,31
2023-01,31.836,30.771,1.066,3.84,42.79,31
2023-02,29.317,28.787,0.531,1.91,43.63,28
2023-03,26.893,25.637,1.256,4.52,36.15,31
2023-04,26.22,24.99,1.23,4.43,36.42,30
2023-05,26.763,25.177,1.587,5.71,35.97,31
2023-06,24.096,22.724,1.373,4.94,33.47,30
2023-07,25.982,24.064,1.918,6.91,34.92,31
2023-08,25.817,23.945,1.872,6.74,34.7,31
2023-09,28.814,26.942,1.872,6.74,40.02,30
2023-10,30.261,28.25,2.01,7.24,40.67,31
2023-11,28.933,27.579,1.354,4.87,40.19,30
2023-12,33.292,31.53,1.761,6.34,44.75,31
2024-01,36.855,35.926,0.929,3.35,49.54,31
2024-02,31.515,30.733,0.783,2.82,45.28,29
2024-03,31.411,29.895,1.517,5.46,42.22,31
2024-04,29.518,26.67,2.848,10.25,41,30
2024-05,30.535,27.846,2.689,9.68,41.04,31
2024-06,28.989,26.367,2.622,9.44,40.26,30
2024-07,31.291,28.581,2.709,9.75,42.06,31
2024-08,31.653,28.598,3.055,11,42.54,31
2024-09,30.07,27.448,2.622,9.44,41.76,30
2024-10,31.956,29.963,1.992,7.17,42.95,31
2024-11,34.004,33.031,0.973,3.5,47.23,30
2024-12,37.86,36.652,1.208,4.35,50.89,31
2025-01,40.3,38.768,1.532,5.51,54.17,31
2025-02,32.534,32.005,0.529,1.9,48.41,28
2025-03,34.107,32.274,1.833,6.6,45.84,31
2025-04,29.574,27.071,2.503,9.01,41.07,30
2025-05,29.202,25.513,3.69,13.28,39.25,31
2025-06,29.579,26.21,3.369,12.13,41.08,30
2025-07,32.442,29.534,2.909,10.47,43.61,31
2025-08,31.945,28.62,3.326,11.97,42.94,31
2025-09,32.807,29.149,3.658,13.17,45.57,30
2025-10,32.546,30.382,2.164,7.79,43.74,31
2025-11,35.295,34.043,1.252,4.51,49.02,30
